league,home_team,away_team,odds_home,odds_draw,odds_away,gameweek
Premier League,Chelsea,Fulham,1.50,4.00,6.00,3
Premier League,Manchester United,Burnley,1.40,4.50,8.00,3
Premier League,Sunderland,Brentford,3.00,3.50,2.30,3
Premier League,Tottenham Hotspur,AFC Bournemouth,1.60,4.00,5.00,3
Premier League,Wolverhampton Wanderers,Everton,2.50,3.20,2.80,3
Premier League,Leeds United,Newcastle United,3.50,3.50,2.00,3
Premier League,Brighton,Manchester City,5.00,4.00,1.60,3
Premier League,Nottingham Forest,West Ham United,2.20,3.50,3.20,3
Premier League,Liverpool,Arsenal,2.50,3.50,2.80,3
Premier League,Aston Villa,Crystal Palace,1.80,3.80,4.00,3
LaLiga,Elche,Levante,2.50,3.20,2.80,3
LaLiga,Valencia,Getafe,1.80,3.50,4.50,3
LaLiga,Alavés,Atlético Madrid,4.50,3.50,1.80,3
LaLiga,Real Oviedo,Real Sociedad,4.00,3.50,1.90,3
LaLiga,Girona,Sevilla,2.50,3.50,2.50,3
LaLiga,Real Madrid,Mallorca,1.30,5.00,9.00,3
LaLiga,Celta Vigo,Villarreal,3.00,3.50,2.30,3
LaLiga,Real Betis,Athletic Club,2.50,3.20,2.80,3
LaLiga,Espanyol,Osasuna,2.80,3.20,2.50,3
LaLiga,Rayo Vallecano,Barcelona,10.00,5.00,1.30,3
